nama_event,cabang_olahraga,lokasi,tahun
2021 World Wrestling Championships – Men's Greco-Roman 87 kg,amateur wrestling,Norway,2021
2021 World Wrestling Championships – Men's Greco-Roman 60 kg,Greco-Roman wrestling,Norway,2021
2021 World Wrestling Championships – Men's Greco-Roman 60 kg,amateur wrestling,Norway,2021
2021 World Wrestling Championships – Men's Greco-Roman 63 kg,Greco-Roman wrestling,Norway,2021
2021 World Wrestling Championships – Men's Greco-Roman 63 kg,amateur wrestling,Norway,2021
2021 World Wrestling Championships – Men's Greco-Roman 67 kg,Greco-Roman wrestling,Norway,2021
2021 World Wrestling Championships – Men's Greco-Roman 67 kg,amateur wrestling,Norway,2021
2021–22 Biathlon World Cup – Stage 1,biathlon,Sweden,2021
2021–22 Biathlon World Cup – Stage 2,biathlon,Sweden,2021
2021–22 Biathlon World Cup – Stage 3,biathlon,Austria,2021
2021–22 Biathlon World Cup – Stage 4,biathlon,France,2021
2022 KNSB Dutch Single Distance Championships – Men's 500 m,speed skating,Netherlands,2021
2022 KNSB Dutch Single Distance Championships – Men's 1000 m,speed skating,Netherlands,2021
"2022 KNSB Dutch Single Distance Championships – Men's 10,000 m",speed skating,Netherlands,2021
2022 KNSB Dutch Single Distance Championships – Men's 5000 m,speed skating,Netherlands,2021
2022 KNSB Dutch Single Distance Championships – Men's 1500 m,speed skating,Netherlands,2021
2021 World Weightlifting Championships – Men's 67 kg,weightlifting,Uzbekistan,2021
2021 World Weightlifting Championships – Men's 81 kg,weightlifting,Uzbekistan,2021
2021 World Weightlifting Championships – Men's 89 kg,weightlifting,Uzbekistan,2021
2021 World Weightlifting Championships – Men's 96 kg,weightlifting,Uzbekistan,2021
2021 World Weightlifting Championships – Women's +87 kg,weightlifting,Uzbekistan,2021
2020–21 Biathlon World Cup – Stage 5,biathlon,Germany,2021
2020–21 Biathlon World Cup – Stage 6,biathlon,Germany,2021
2020–21 Biathlon World Cup – Stage 7,biathlon,Italy,2021
2020–21 Biathlon World Cup – Stage 8,biathlon,Czech Republic,2021
2020–21 Biathlon World Cup – Stage 10,biathlon,Sweden,2021
2020–21 Biathlon World Cup – Stage 9,biathlon,Czech Republic,2021
Q106731137,diving,Japan,2021
diving at the 2020 European Aquatics Championships,diving,Hungary,2021
artistic swimming at the 2020 European Aquatics Championships – solo free routine,synchronized swimming,Hungary,2021
artistic swimming at the 2020 European Aquatics Championships – duet free routine,synchronized swimming,Hungary,2021
Swimming at the 2020 European Aquatics Championships – Men's 50 metre freestyle,competitive swimming,Hungary,2021
Swimming at the 2020 European Aquatics Championships – Men's 100 metre breaststroke,competitive swimming,Hungary,2021
Swimming at the 2020 European Aquatics Championships – Men's 50 metre butterfly,competitive swimming,Hungary,2021
Swimming at the 2020 European Aquatics Championships – Men's 200 metre butterfly,competitive swimming,Hungary,2021
Swimming at the 2020 European Aquatics Championships – Men's 200 metre freestyle,competitive swimming,Hungary,2021
Swimming at the 2020 European Aquatics Championships – Men's 200 metre breaststroke,competitive swimming,Hungary,2021
Swimming at the 2020 European Aquatics Championships – Men's 100 metre butterfly,competitive swimming,Hungary,2021
2021 African Artistic Gymnastics Championships,artistic gymnastics,Egypt,2021
2021–22 Coppa Italia,association football,Italy,2021
2021 European Athletics U23 Championships – women's triple jump,athletics,Estonia,2021
2021 World Athletics U20 Championships – Men's 110 metres hurdles,athletics,Kenya,2021
2020–21 ISU Speed Skating World Cup – World Cup 1 – women's mass start,long track speed skating,Netherlands,2021
Q108560764,basketball,Italy,2021
Q108730883,basketball,Italy,2021
2019–20 Biathlon World Cup – Stage 4,biathlon,Germany,2020
2019–20 Biathlon World Cup – Stage 5,biathlon,Germany,2020
2019–20 Biathlon World Cup – Stage 6,biathlon,Slovenia,2020
2019–20 Biathlon World Cup – Stage 7,biathlon,Czech Republic,2020
2019–20 Biathlon World Cup – Stage 8,biathlon,Finland,2020
2019–20 Biathlon World Cup – Stage 9 (canceled),biathlon,Norway,2020
2020 German Figure Skating Championships - senior men's singles,men's singles,Germany,2020
2020 German Figure Skating Championships - senior ladies' singles,ladies' singles,Germany,2020
2020 German Figure Skating Championships - senior pair skating,pair skating,Germany,2020
2020 German Figure Skating Championships - senior ice dancing,ice dance,Germany,2020
2020 European Figure Skating Championships - men's singles,men's singles,Austria,2020
2020 European Figure Skating Championships - ladies' singles,ladies' singles,Austria,2020
2020 European Figure Skating Championships - pair skating,pair skating,Austria,2020
2020 European Figure Skating Championships - ice dancing,ice dance,Austria,2020
"athletics at the 2020 Summer Olympics – women's 10,000 metres",athletics,Japan,2020
"athletics at the 2020 Summer Olympics – men's 10,000 metres",athletics,Japan,2020
2019-2020 Turkish Figure Skating Championships - senior men's singles,men's singles,Turkey,2020
2019-2020 Turkish Figure Skating Championships - senior ladies' singles,ladies' singles,Turkey,2020
2020 Norwegian Figure Skating Championships - senior men's singles,men's singles,Norway,2020
2020 Norwegian Figure Skating Championships - senior ladies' singles,ladies' singles,Norway,2020
2020 Canadian Figure Skating Championships - senior men's singles,men's singles,Canada,2020
2020 Canadian Figure Skating Championships - senior ladies' singles,ladies' singles,Canada,2020
2020 Canadian Figure Skating Championships - senior pair skating,pair skating,Canada,2020
2020 Canadian Figure Skating Championships - senior ice dancing,ice dance,Canada,2020
2020 U.S. Figure Skating Championships - senior men's singles,men's singles,United States,2020
2020 U.S. Figure Skating Championships - senior ladies' singles,ladies' singles,United States,2020
2020 U.S. Figure Skating Championships - senior pair skating,pair skating,United States,2020
2020 U.S. Figure Skating Championships - senior ice dancing,ice dance,United States,2020
2020 Mentor Toruń Cup - senior men's singles,men's singles,Poland,2020
2020 Mentor Toruń Cup - senior ladies' singles,ladies' singles,Poland,2020
2020 Mentor Toruń Cup - senior ice dancing,ice dance,Poland,2020
2020 EduSport Trophy - senior men's singles,men's singles,Romania,2020
2020 EduSport Trophy - senior ladies' singles,ladies' singles,Romania,2020
2020 Skate Helena - senior ladies' singles,ladies' singles,Serbia,2020
figure skating at the 2020 Reykjavík International Games - senior men's singles,men's singles,Iceland,2020
figure skating at the 2020 Reykjavík International Games - senior ladies' singles,ladies' singles,Iceland,2020
Dragon Trophy 2020 - senior men's singles,men's singles,Slovenia,2020
Dragon Trophy 2020 - senior ladies' singles,ladies' singles,Slovenia,2020
2020 Bavarian Open - senior men's singles,men's singles,Germany,2020
2020 Bavarian Open - senior ladies' singles,ladies' singles,Germany,2020
2020 Bavarian Open - senior pair skating,pair skating,Germany,2020
2020 Bavarian Open - senior ice dancing,ice dance,Germany,2020
2020 Four Continents Figure Skating Championships - men's singles,men's singles,South Korea,2020
2020 Four Continents Figure Skating Championships - ladies' singles,ladies' singles,South Korea,2020
2020 Four Continents Figure Skating Championships - pair skating,pair skating,South Korea,2020
2020 Four Continents Figure Skating Championships - ice dancing,ice dance,South Korea,2020
2020 Egna Dance Trophy - senior ice dancing,ice dance,Italy,2020
2020 Sofia Trophy - senior men's singles,men's singles,Bulgaria,2020
2020 Sofia Trophy - senior ladies' singles,ladies' singles,Bulgaria,2020
Q108743767,basketball,Italy,2020
2021 KNSB Dutch Single Distance Championships – Women's 1500 m,speed skating,Netherlands,2020
2021 KNSB Dutch Single Distance Championships – Women's 3000 m,speed skating,Netherlands,2020
2021 KNSB Dutch Single Distance Championships – Women's 5000 m,speed skating,Netherlands,2020
2021 KNSB Dutch Single Distance Championships – Women's 1000 m,speed skating,Netherlands,2020
2020 UEC European Track Championships – men's team pursuit,track cycling,Bulgaria,2020
2020–21 Biathlon World Cup – Stage 1,biathlon,Finland,2020
