"eventName","cabangOlahraga","lokasiLengkap","tahun"
"Tour de Indonesia","Race stage","Indonesia, Java",2018
"Tour de Korea","Race stage","South Korea",2018
"Tour de Kumano","Race stage","Japan, Kumano, Mie, Shingū, Wakayama, Taiji, Wakayama",2018
"Tour de Langkawi","Race stage","Peninsular Malaysia",2018
"Tour de Limpopo","Race stage","South Africa",2018
"Tour de Okinawa","Classic cycle races","Japan, Okinawa Prefecture",2018
"Tour de Pologne","Race stage","Poland",2018
"Tour de Romandie","Major one week stage races (cycling)","Romandy",2018
"Tour de Serbie","Race stage","Serbia",2018
"Tour de Singkarak","Race stage","Indonesia, West Sumatra",2018
"Tour de Taiwan","Race stage","Taiwan",2018
"Tour de Tochigi","Race stage","Japan, Tochigi Prefecture",2018
"Tour de Yorkshire","Race stage","Yorkshire",2018
"Tour de la Pharmacie Centrale","Race stage","Tunisia",2018
"Tour des Alpes-Maritimes","Race stage","Provence-Alpes-Côte d'Azur, Var (department)",2018
"Tour du Cameroun","Race stage","Cameroon",2018
"Tour du Gévaudan Occitanie","Race stage","Languedoc-Roussillon",2018
"Tour du Jura (France)","Classic cycle races, Race stage","France",2018
"Tour du Sénégal","Race stage","Senegal",2018
"Tour of Austria","Race stage","Austria",2018
"Tour of Belgium","Race stage","Belgium",2018
"Tour of Britain Women","Race stage","Great Britain",2018
"Tour of Cappadocia","Race stage","Nevşehir Province",2018
"Tour of China","Race stage","China",2018
"Tour of Galicia","Race stage","Galicia (Spain)",2018
"Tour of Guangxi","Race stage","China, Guangxi",2018
"Tour of Hainan","Race stage","China, Hainan",2018
"Tour of Małopolska","Race stage","Lesser Poland Voivodeship, Poland",2018
"Tour of Oman","Race stage","Oman",2018
"Tour of Qinghai Lake","Race stage","China, Qinghai",2018
"Tour of Romania","Race stage","Romania",2018
"Tour of Szeklerland","Race stage","Romania, Székely Land",2018
"Tour of Xingtai","Race stage","China",2018
"Tour of the Alps","Race stage","Tyrol–South Tyrol–Trentino Euroregion",2018
"Tour of the Basque Country","Major one week stage races (cycling)","Basque Country (autonomous community)",2018
"Trofeo Edil C","Classic cycle races","Italy, Province of Parma",2018
"Van Merksteijn Fences Classic","Classic cycle races","Belgium, Zwevegem",2018
"Volta a Catalunya","Major one week stage races (cycling)","Catalonia",2018
"Volta a la Comunitat Valenciana","Race stage","Valencian Community",2018
"Vuelta a Aragón","Race stage","Aragon",2018
"Vuelta a Navarra","Race stage","Navarre",2018
"Vuelta a San Juan","Race stage","Argentina, San Juan Province, Argentina",2018
"Vuelta a la Independencia Nacional","Race stage","Dominican Republic",2018
"Alpes Isère Tour","Race stage","Rhône-Alpes",2019
"Antwerp Port Epic","Classic cycle races","Belgium",2019
"Arctic Race of Norway","Race stage","Norway",2019
"Baloise Ladies Tour","Race stage","Netherlands",2019
"Bałtyk–Karkonosze Tour","Race stage","Poland",2019
"Chrono des Nations","Individual time trial","Vendée",2019
"Circuit de Wallonie","Classic cycle races","Wallonia",2019
"Clássica Aldeias do Xisto","Classic cycle races","Portugal",2019
"Clássica da Arrábida","Classic cycle races","Portugal",2019
"Critérium du Dauphiné","Major one week stage races (cycling)","France, Rhône-Alpes",2019
"Czech Tour","Race stage","Czech Republic",2019
"Dookoła Mazowsza","Race stage","Mazovia, Poland",2019
"Dwars door het Hageland","Classic cycle races","Flemish Brabant",2019
"Elfstedenronde","Classic cycle races","Belgium",2019
"Famenne Ardenne Classic","Classic cycle races","Belgium, Marche-en-Famenne",2019
"Five Rings of Moscow","Race stage","Moscow, Russia",2019
"Gastown Grand Prix","Criterium","British Columbia, Gastown, Vancouver",2019
"Grand Prix Cycliste de Québec","Classic cycle races","Quebec, Quebec City",2019
"Grand Prix Cycliste de Saguenay","Race stage","Quebec",2019
"Grand Prix Velo Erciyes","Classic cycle races","Kayseri Province",2019
"Gravel and Tar Classic","Classic cycle races","Manawatū-Whanganui, Manawatū–Whanganui",2019
"Gylne Gutuer","Classic cycle races","Norway",2019
"HTV Cup (cycling)","Race stage","Vietnam",2019
"Hafjell TT","Individual time trial","Norway",2019
"Herald Sun Tour","Race stage","Victoria (state)",2019
"International Rhodes Grand Prix","Classic cycle races","Greece",2019
"International Tour of Rhodes","Race stage","Greece, Rhodes",2019
"Japan Cup (cycling)","Classic cycle races","Japan",2019
"Joe Martin Stage Race","Race stage","Fayetteville, Arkansas",2019
"Kalmar Grand Prix","Classic cycle races","Kalmar, Sweden",2019
"Kreiz Breizh Elites","Race stage","Brittany, France",2019
"Lillehammer GP","Classic cycle races","Norway",2019
"Memorial Grundmanna I Wizowskiego","Classic cycle races","Poland",2019
"Memoriał Romana Siemińskiego","Classic cycle races","Masovian Voivodeship, Poland",2019
"Midden–Brabant Poort Omloop","Classic cycle races","Gilze en Rijen, Netherlands",2019
"Oberösterreich Rundfahrt","Race stage","Upper Austria",2019
"Oita Urban Classic","Classic cycle races","Ōita (city)",2019
"Okolo Slovenska","Race stage","Slovakia",2019
"PRUride Philippines","Race stage","Philippines",2019
"Presidential Cycling Tour of Turkey","Race stage","Turkey",2019
"Ronda Pilipinas","Race stage","Philippines",2019
"Ronde de l'Oise","Race stage","Oise",2019
"Rutas de América","Race stage","Uruguay",2019
"Settimana Internazionale di Coppi e Bartali","Race stage","Emilia-Romagna",2019
"Six Days of London","Six-day racing","London",2019
"Szlakiem Grodów Piastowskich","Race stage","Lower Silesian Voivodeship",2019
"Szlakiem Walk Majora Hubala","Classic cycle races, Race stage","Poland",2019
"Tour Alsace","Race stage","Alsace, France",2019
"Tour International des Zibans","Race stage","Algeria, Biskra",2019
"Tour de Hokkaido","Race stage","Hokkaido, Japan",2019
"Tour de Hongrie","Race stage","Hungary",2019
"Tour de Indonesia","Race stage","Indonesia, Java",2019
"Tour de Iskandar Johor","Race stage","Malaysia",2019
"Tour de Korea","Race stage","South Korea",2019
"Tour de Kumano","Race stage","Japan, Kumano, Mie, Shingū, Wakayama, Taiji, Wakayama",2019
"Tour de Langkawi","Race stage","Peninsular Malaysia",2019
"Tour de Limpopo","Race stage","South Africa",2019
"Tour de Okinawa","Classic cycle races","Japan, Okinawa Prefecture",2019
"Tour de Pologne","Race stage","Poland",2019
"Tour de Romandie","Major one week stage races (cycling)","Romandy",2019
"Tour de Serbie","Race stage","Serbia",2019
"Tour de Singkarak","Race stage","Indonesia, West Sumatra",2019
"Tour de Taiwan","Race stage","Taiwan",2019
"Tour de Tochigi","Race stage","Japan, Tochigi Prefecture",2019
"Tour de Yorkshire","Race stage","Yorkshire",2019
"Tour des Alpes-Maritimes","Race stage","Provence-Alpes-Côte d'Azur, Var (department)",2019
"Tour du Cameroun","Race stage","Cameroon",2019
"Tour du Jura (France)","Classic cycle races, Race stage","France",2019
"Tour du Sénégal","Race stage","Senegal",2019
"Tour of Austria","Race stage","Austria",2019
"Tour of Belgium","Race stage","Belgium",2019
"Tour of Britain Women","Race stage","Great Britain",2019
"Tour of China","Race stage","China",2019
"Tour of Galicia","Race stage","Galicia (Spain)",2019
"Tour of Good Hope","Race stage","Cape Winelands District Municipality",2019
"Tour of Guangxi","Race stage","China, Guangxi",2019
"Tour of Małopolska","Race stage","Lesser Poland Voivodeship, Poland",2019
"Tour of Oman","Race stage","Oman",2019
"Tour of Peninsular","Race stage","Malaysia",2019
"Tour of Qinghai Lake","Race stage","China, Qinghai",2019
"Tour of Romania","Race stage","Romania",2019
"Tour of Szeklerland","Race stage","Romania, Székely Land",2019
"Tour of Xingtai","Race stage","China",2019
"Tour of the Alps","Race stage","Tyrol–South Tyrol–Trentino Euroregion",2019
"Tour of the Basque Country","Major one week stage races (cycling)","Basque Country (autonomous community)",2019
"Trofeo Edil C","Classic cycle races","Italy, Province of Parma",2019
"Van Merksteijn Fences Classic","Classic cycle races","Belgium, Zwevegem",2019
"Volta Feminina da República","Race stage","Brazil",2019
"Volta a Catalunya","Major one week stage races (cycling)","Catalonia",2019
"Volta a la Comunitat Valenciana","Race stage","Valencian Community",2019
"Vuelta a Aragón","Race stage","Aragon",2019
"Vuelta a Navarra","Race stage","Navarre",2019
"Vuelta a San Juan","Race stage","Argentina, San Juan Province, Argentina",2019
"Vuelta a la Independencia Nacional","Race stage","Dominican Republic",2019
"Alpes Isère Tour","Race stage","Rhône-Alpes",2020
"Antwerp Port Epic","Classic cycle races","Belgium",2020
"Arctic Race of Norway","Race stage","Norway",2020
"Baloise Ladies Tour","Race stage","Netherlands",2020
"Baltic Chain Tour","Race stage","Northern Europe",2020
"Bałtyk–Karkonosze Tour","Race stage","Poland",2020
"Cambodia Bay Cycling Tour","Race stage","Cambodia",2020
"Chrono des Nations","Individual time trial","Vendée",2020
"Circuit de Wallonie","Classic cycle races","Wallonia",2020
"Clássica Aldeias do Xisto","Classic cycle races","Portugal",2020
"Clássica da Arrábida","Classic cycle races","Portugal",2020
"Critérium du Dauphiné","Major one week stage races (cycling)","France, Rhône-Alpes",2020
"Czech Tour","Race stage","Czech Republic",2020
"Dookoła Mazowsza","Race stage","Mazovia, Poland",2020
"Dwars door het Hageland","Classic cycle races","Flemish Brabant",2020
"Elfstedenronde","Classic cycle races","Belgium",2020
"Famenne Ardenne Classic","Classic cycle races","Belgium, Marche-en-Famenne",2020
"Five Rings of Moscow","Race stage","Moscow, Russia",2020
"Grand Prix Cappadocia","Classic cycle races","Kayseri Province",2020
"Grand Prix Central Anatolia","Classic cycle races","Anatolia",2020
"Grand Prix Cycliste de Québec","Classic cycle races","Quebec, Quebec City",2020
"Grand Prix Cycliste de Saguenay","Race stage","Quebec",2020
"Grand Prix Develi","Classic cycle races","Turkey",2020
"Grand Prix Velo Erciyes","Classic cycle races","Kayseri Province",2020
"Grand Prix Velo Manavgat","Classic cycle races","Manavgat, Turkey",2020
"Gravel and Tar Classic","Classic cycle races","Manawatū-Whanganui, Manawatū–Whanganui",2020
"Gylne Gutuer","Classic cycle races","Norway",2020
"HTV Cup (cycling)","Race stage","Vietnam",2020
"Hafjell TT","Individual time trial","Norway",2020
"Herald Sun Tour","Race stage","Victoria (state)",2020
"International Rhodes Grand Prix","Classic cycle races","Greece",2020
"International Tour of Rhodes","Race stage","Greece, Rhodes",2020
"Japan Cup (cycling)","Classic cycle races","Japan",2020
"Joe Martin Stage Race","Race stage","Fayetteville, Arkansas",2020
"Kreiz Breizh Elites","Race stage","Brittany, France",2020
"Lillehammer GP","Classic cycle races","Norway",2020
"Memorial Grundmanna I Wizowskiego","Classic cycle races","Poland",2020
"Midden–Brabant Poort Omloop","Classic cycle races","Gilze en Rijen, Netherlands",2020
"Oberösterreich Rundfahrt","Race stage","Upper Austria",2020
"Okolo Slovenska","Race stage","Slovakia",2020
"Presidential Cycling Tour of Turkey","Race stage","Turkey",2020
"Ronda Pilipinas","Race stage","Philippines",2020
"Ronde de l'Oise","Race stage","Oise",2020
"Rutas de América","Race stage","Uruguay",2020
"Settimana Internazionale di Coppi e Bartali","Race stage","Emilia-Romagna",2020
"Tour Alsace","Race stage","Alsace, France",2020
"Tour Battle of Warsaw","Race stage","Masovian Voivodeship, Poland",2020
"Tour International des Zibans","Race stage","Algeria, Biskra",2020
"Tour de Hokkaido","Race stage","Hokkaido, Japan",2020
"Tour de Hongrie","Race stage","Hungary",2020
"Tour de Korea","Race stage","South Korea",2020
"Tour de Kumano","Race stage","Japan, Kumano, Mie, Shingū, Wakayama, Taiji, Wakayama",2020
"Tour de Langkawi","Race stage","Peninsular Malaysia",2020
"Tour de Okinawa","Classic cycle races","Japan, Okinawa Prefecture",2020
"Tour de Pologne","Race stage","Poland",2020
"Tour de Romandie","Major one week stage races (cycling)","Romandy",2020
"Tour de Serbie","Race stage","Serbia",2020
"Tour de Taiwan","Race stage","Taiwan",2020
"Tour de Tochigi","Race stage","Japan, Tochigi Prefecture",2020
"Tour de Yorkshire","Race stage","Yorkshire",2020
"Tour des Alpes-Maritimes","Race stage","Provence-Alpes-Côte d'Azur, Var (department)",2020
"Tour du Cameroun","Race stage","Cameroon",2020
"Tour du Pays de Montbéliard","Race stage","Doubs, France",2020
"Tour of Austria","Race stage","Austria",2020
"Tour of Belgium","Race stage","Belgium",2020
"Tour of Britain Women","Race stage","Great Britain",2020
"Tour of Bulgaria","Race stage","Bulgaria",2020
"Tour of Good Hope","Race stage","Cape Winelands District Municipality",2020
"Tour of Guangxi","Race stage","China, Guangxi",2020
"Tour of Małopolska","Race stage","Lesser Poland Voivodeship, Poland",2020
"Tour of Oman","Race stage","Oman",2020
"Tour of Romania","Race stage","Romania",2020
"Tour of Szeklerland","Race stage","Romania, Székely Land",2020
"Tour of the Basque Country","Major one week stage races (cycling)","Basque Country (autonomous community)",2020
"Van Merksteijn Fences Classic","Classic cycle races","Belgium, Zwevegem",2020
"Volta a Catalunya","Major one week stage races (cycling)","Catalonia",2020
"Volta a la Comunitat Valenciana","Race stage","Valencian Community",2020
"Vuelta a San Juan","Race stage","Argentina, San Juan Province, Argentina",2020
"Vuelta a la Independencia Nacional","Race stage","Dominican Republic",2020
"Alpes Isère Tour","Race stage","Rhône-Alpes",2021
"Antwerp Port Epic","Classic cycle races","Belgium",2021
"Arctic Race of Norway","Race stage","Norway",2021
"Baloise Ladies Tour","Race stage","Netherlands",2021
"Baltic Chain Tour","Race stage","Northern Europe",2021
"Chrono des Nations","Individual time trial","Vendée",2021
"Circuit de Wallonie","Classic cycle races","Wallonia",2021
"Classic Grand Besançon Doubs","Classic cycle races","Doubs",2021
"Clássica Aldeias do Xisto","Classic cycle races","Portugal",2021
"Clássica da Arrábida","Classic cycle races","Portugal",2021
"Critérium du Dauphiné","Major one week stage races (cycling)","France, Rhône-Alpes",2021
"Czech Tour","Race stage","Czech Republic",2021
"Dookoła Mazowsza","Race stage","Mazovia, Poland",2021
"Dwars door het Hageland","Classic cycle races","Flemish Brabant",2021
"Elfstedenronde","Classic cycle races","Belgium",2021
"Five Rings of Moscow","Race stage","Moscow, Russia",2021
"Flanders Tomorrow Tour","Race stage","West Flanders",2021
"Grand Prix Cycliste de Saguenay","Race stage","Quebec",2021
"Grand Prix Develi","Classic cycle races","Turkey",2021
"Grand Prix Mediterranean WE","Classic cycle races","Turkey",2021
"Grand Prix Velo Erciyes","Classic cycle races","Kayseri Province",2021
"Grand Prix Velo Manavgat","Classic cycle races","Manavgat, Turkey",2021
"Gravel and Tar Classic","Classic cycle races","Manawatū-Whanganui, Manawatū–Whanganui",2021
"Gylne Gutuer","Classic cycle races","Norway",2021
"HTV Cup (cycling)","Race stage","Vietnam",2021
"International Rhodes Grand Prix","Classic cycle races","Greece",2021
"International Tour of Rhodes","Race stage","Greece, Rhodes",2021
"Japan Cup (cycling)","Classic cycle races","Japan",2021
"Joe Martin Stage Race","Race stage","Fayetteville, Arkansas",2021
"Kreiz Breizh Elites","Race stage","Brittany, France",2021
"Lillehammer GP","Classic cycle races","Norway",2021
"Memorial Grundmanna I Wizowskiego","Classic cycle races","Poland",2021
"Mercan'Tour Classic","Classic cycle races","Alpes-Maritimes",2021
"Midden–Brabant Poort Omloop","Classic cycle races","Gilze en Rijen, Netherlands",2021
"Oberösterreich Rundfahrt","Race stage","Upper Austria",2021
"Oita Urban Classic","Classic cycle races","Ōita (city)",2021
"Okolo Jižních Čech","Race stage","Czech Republic",2021
"Okolo Slovenska","Race stage","Slovakia",2021
"Per sempre Alfredo","Classic cycle races","Tuscany",2021
"Presidential Cycling Tour of Turkey","Race stage","Turkey",2021
"Ronde de l'Oise","Race stage","Oise",2021
"Settimana Internazionale di Coppi e Bartali","Race stage","Emilia-Romagna",2021
"Szlakiem Grodów Piastowskich","Race stage","Lower Silesian Voivodeship",2021
"Tour Alsace","Race stage","Alsace, France",2021
"Tour de Hokkaido","Race stage","Hokkaido, Japan",2021
"Tour de Hongrie","Race stage","Hungary",2021
"Tour de Kumano","Race stage","Japan, Kumano, Mie, Shingū, Wakayama, Taiji, Wakayama",2021
"Tour de Langkawi","Race stage","Peninsular Malaysia",2021
"Tour de Okinawa","Classic cycle races","Japan, Okinawa Prefecture",2021
"Tour de Pologne","Race stage","Poland",2021
"Tour de Romandie","Major one week stage races (cycling)","Romandy",2021
"Tour de Serbie","Race stage","Serbia",2021
"Tour de Taiwan","Race stage","Taiwan",2021
"Tour de Yorkshire","Race stage","Yorkshire",2021
"Tour des Alpes-Maritimes","Race stage","Provence-Alpes-Côte d'Azur, Var (department)",2021
"Tour du Cameroun","Race stage","Cameroon",2021
"Tour du Jura (France)","Classic cycle races, Race stage","France",2021
"Tour du Pays de Montbéliard","Race stage","Doubs, France",2021
"Tour of Austria","Race stage","Austria",2021
"Tour of Belgium","Race stage","Belgium",2021
"Tour of Britain Women","Race stage","Great Britain",2021
"Tour of Bulgaria","Race stage","Bulgaria",2021
"Tour of Galicia","Race stage","Galicia (Spain)",2021
"Tour of Guangxi","Race stage","China, Guangxi",2021
"Tour of Małopolska","Race stage","Lesser Poland Voivodeship, Poland",2021
"Tour of Oman","Race stage","Oman",2021
"Tour of Qinghai Lake","Race stage","China, Qinghai",2021
"Tour of Romania","Race stage","Romania",2021
"Tour of Szeklerland","Race stage","Romania, Székely Land",2021
"Tour of the Alps","Race stage","Tyrol–South Tyrol–Trentino Euroregion",2021
"Tour of the Basque Country","Major one week stage races (cycling)","Basque Country (autonomous community)",2021
"Van Merksteijn Fences Classic","Classic cycle races","Belgium, Zwevegem",2021
"Veneto Classic","Classic cycle races","Veneto",2021
"Volta a Catalunya","Major one week stage races (cycling)","Catalonia",2021
"Volta a la Comunitat Valenciana","Race stage","Valencian Community",2021
"Vuelta a San Juan","Race stage","Argentina, San Juan Province, Argentina",2021
"Vuelta a la Independencia Nacional","Race stage","Dominican Republic",2021
"Alpes Isère Tour","Race stage","Rhône-Alpes",2022
"Antwerp Port Epic","Classic cycle races","Belgium",2022
"Arctic Race of Norway","Race stage","Norway",2022
"Baloise Ladies Tour","Race stage","Netherlands",2022
"Baltic Chain Tour","Race stage","Northern Europe",2022
"Chrono des Nations","Individual time trial","Vendée",2022
"Circuit de Wallonie","Classic cycle races","Wallonia",2022
"Classic Grand Besançon Doubs","Classic cycle races","Doubs",2022
"Clássica Aldeias do Xisto","Classic cycle races","Portugal",2022
"Clássica da Arrábida","Classic cycle races","Portugal",2022
"Critérium du Dauphiné","Major one week stage races (cycling)","France, Rhône-Alpes",2022
"Czech Tour","Race stage","Czech Republic",2022
"Dookoła Mazowsza","Race stage","Mazovia, Poland",2022
"Dwars door het Hageland","Classic cycle races","Flemish Brabant",2022
"Elfstedenrace","Classic cycle races","Friesland, Netherlands",2022
"Elfstedenronde","Classic cycle races","Belgium",2022
"Famenne Ardenne Classic","Classic cycle races","Belgium, Marche-en-Famenne",2022
"Five Rings of Moscow","Race stage","Moscow, Russia",2022
"Flanders Tomorrow Tour","Race stage","West Flanders",2022
"Grand Prix Cappadocia","Classic cycle races","Kayseri Province",2022
"Grand Prix Cycliste de Québec","Classic cycle races","Quebec, Quebec City",2022
"Grand Prix Cycliste de Saguenay","Race stage","Quebec",2022
"Grand Prix Develi","Classic cycle races","Turkey",2022
"Grand Prix Mediterranean WE","Classic cycle races","Turkey",2022
"Gravel and Tar Classic","Classic cycle races","Manawatū-Whanganui, Manawatū–Whanganui",2022
"Gylne Gutuer","Classic cycle races","Norway",2022
"HTV Cup (cycling)","Race stage","Vietnam",2022
"International Rhodes Grand Prix","Classic cycle races","Greece",2022
"International Syrian Tour","Race stage","Syria",2022
"International Tour of Rhodes","Race stage","Greece, Rhodes",2022
"Itzulia Women","Race stage","Basque Country (autonomous community), Spain",2022
"Japan Cup (cycling)","Classic cycle races","Japan",2022
"Joe Martin Stage Race","Race stage","Fayetteville, Arkansas",2022
"Kreiz Breizh Elites","Race stage","Brittany, France",2022
"Lillehammer GP","Classic cycle races","Norway",2022
"Memorial Grundmanna I Wizowskiego","Classic cycle races","Poland",2022
"Mercan'Tour Classic","Classic cycle races","Alpes-Maritimes",2022
"Midden–Brabant Poort Omloop","Classic cycle races","Gilze en Rijen, Netherlands",2022
"O Gran Camiño","Road bicycle racing","Galicia (Spain)",2022
"Oberösterreich Rundfahrt","Race stage","Upper Austria",2022
"Oita Urban Classic","Classic cycle races","Ōita (city)",2022
"Okolo Jižních Čech","Race stage","Czech Republic",2022
"Okolo Slovenska","Race stage","Slovakia",2022
"Per sempre Alfredo","Classic cycle races","Tuscany",2022
"Presidential Cycling Tour of Turkey","Race stage","Turkey",2022
"Princess Anna Vasa Tour","Race stage","Poland",2022
"Ronda Pilipinas","Race stage","Philippines",2022
"Ronde de l'Oise","Race stage","Oise",2022
"Rutas de América","Race stage","Uruguay",2022
"Settimana Internazionale di Coppi e Bartali","Race stage","Emilia-Romagna",2022
"Tour Alsace","Race stage","Alsace, France",2022
"Tour de France Femmes","Race stage","France",2022
"Tour de Hokkaido","Race stage","Hokkaido, Japan",2022
"Tour de Hongrie","Race stage","Hungary",2022
"Tour de Kumano","Race stage","Japan, Kumano, Mie, Shingū, Wakayama, Taiji, Wakayama",2022
"Tour de Langkawi","Race stage","Peninsular Malaysia",2022
"Tour de Okinawa","Classic cycle races","Japan, Okinawa Prefecture",2022
"Tour de Pologne","Race stage","Poland",2022
"Tour de Serbie","Race stage","Serbia",2022
"Tour de Taiwan","Race stage","Taiwan",2022
"Tour de Yorkshire","Race stage","Yorkshire",2022
"Tour des Alpes-Maritimes","Race stage","Provence-Alpes-Côte d'Azur, Var (department)",2022
"Tour du Cameroun","Race stage","Cameroon",2022
"Tour du Jura (France)","Classic cycle races, Race stage","France",2022
"Tour du Pays de Montbéliard","Race stage","Doubs, France",2022
"Tour of Austria","Race stage","Austria",2022
"Tour of Belgium","Race stage","Belgium",2022
"Tour of Britain Women","Race stage","Great Britain",2022
"Tour of Bulgaria","Race stage","Bulgaria",2022
"Tour of Galicia","Race stage","Galicia (Spain)",2022
"Tour of Guangxi","Race stage","China, Guangxi",2022
"Tour of Małopolska","Race stage","Lesser Poland Voivodeship, Poland",2022
"Tour of Oman","Race stage","Oman",2022
"Tour of Qinghai Lake","Race stage","China, Qinghai",2022
"Tour of Romania","Race stage","Romania",2022
"Tour of Szeklerland","Race stage","Romania, Székely Land",2022
"Tour of the Alps","Race stage","Tyrol–South Tyrol–Trentino Euroregion",2022
"Tour of the Basque Country","Major one week stage races (cycling)","Basque Country (autonomous community)",2022
"Van Merksteijn Fences Classic","Classic cycle races","Belgium, Zwevegem",2022
"Veneto Classic","Classic cycle races","Veneto",2022
"Volta a Catalunya","Major one week stage races (cycling)","Catalonia",2022
"Volta a la Comunitat Valenciana","Race stage","Valencian Community",2022
"Vuelta a Navarra","Race stage","Navarre",2022
"Vuelta a San Juan","Race stage","Argentina, San Juan Province, Argentina",2022
"Vuelta a la Independencia Nacional","Race stage","Dominican Republic",2022
"Alpes Isère Tour","Race stage","Rhône-Alpes",2023
"Antwerp Port Epic","Classic cycle races","Belgium",2023
"Arctic Race of Norway","Race stage","Norway",2023
"Baloise Ladies Tour","Race stage","Netherlands",2023
"Baltic Chain Tour","Race stage","Northern Europe",2023
"Chrono des Nations","Individual time trial","Vendée",2023
"Circuit de Wallonie","Classic cycle races","Wallonia",2023
"Classic Grand Besançon Doubs","Classic cycle races","Doubs",2023
"Clássica Aldeias do Xisto","Classic cycle races","Portugal",2023
"Clássica da Arrábida","Classic cycle races","Portugal",2023
"Critérium du Dauphiné","Major one week stage races (cycling)","France, Rhône-Alpes",2023
"Czech Tour","Race stage","Czech Republic",2023
"Dookoła Mazowsza","Race stage","Mazovia, Poland",2023
"Dwars door het Hageland","Classic cycle races","Flemish Brabant",2023
"Elfstedenrace","Classic cycle races","Friesland, Netherlands",2023
"Elfstedenronde","Classic cycle races","Belgium",2023
"Famenne Ardenne Classic","Classic cycle races","Belgium, Marche-en-Famenne",2023
"Figueira Champions Classic","Classic cycle races","Portugal",2023
"Five Rings of Moscow","Race stage","Moscow, Russia",2023
"Flanders Tomorrow Tour","Race stage","West Flanders",2023
"Grand Prix Cycliste de Québec","Classic cycle races","Quebec, Quebec City",2023
"Gravel and Tar Classic","Classic cycle races","Manawatū-Whanganui, Manawatū–Whanganui",2023
"Gylne Gutuer","Classic cycle races","Norway",2023
"HTV Cup (cycling)","Race stage","Vietnam",2023
"Hong Kong Challenge","Classic cycle races","Hong Kong",2023
"International Rhodes Grand Prix","Classic cycle races","Greece",2023
"International Tour of Rhodes","Race stage","Greece, Rhodes",2023
"Itzulia Women","Race stage","Basque Country (autonomous community), Spain",2023
"Japan Cup (cycling)","Classic cycle races","Japan",2023
"Joe Martin Stage Race","Race stage","Fayetteville, Arkansas",2023
"Kreiz Breizh Elites","Race stage","Brittany, France",2023
"Lillehammer GP","Classic cycle races","Norway",2023
"Mercan'Tour Classic","Classic cycle races","Alpes-Maritimes",2023
"Midden–Brabant Poort Omloop","Classic cycle races","Gilze en Rijen, Netherlands",2023
"Muscat Classic","Classic cycle races","Oman",2023
"Muur Classic Geraardsbergen","Classic cycle races","Belgium, Geraardsbergen",2023
"O Gran Camiño","Road bicycle racing","Galicia (Spain)",2023
"Oberösterreich Rundfahrt","Race stage","Upper Austria",2023
"Oita Urban Classic","Classic cycle races","Ōita (city)",2023
"Okolo Jižních Čech","Race stage","Czech Republic",2023
"Okolo Slovenska","Race stage","Slovakia",2023
"Per sempre Alfredo","Classic cycle races","Tuscany",2023
"Presidential Cycling Tour of Turkey","Race stage","Turkey",2023
"Princess Anna Vasa Tour","Race stage","Poland",2023
"Ronde de l'Oise","Race stage","Oise",2023
"Rutas de América","Race stage","Uruguay",2023
"Settimana Internazionale di Coppi e Bartali","Race stage","Emilia-Romagna",2023
"Tour Alsace","Race stage","Alsace, France",2023
"Tour de Hokkaido","Race stage","Hokkaido, Japan",2023
"Tour de Hongrie","Race stage","Hungary",2023
"Tour de Kumano","Race stage","Japan, Kumano, Mie, Shingū, Wakayama, Taiji, Wakayama",2023
"Tour de Kyushu","Race stage","Japan, Kyushu",2023
"Tour de Langkawi","Race stage","Peninsular Malaysia",2023
"Tour de Okinawa","Classic cycle races","Japan, Okinawa Prefecture",2023
"Tour de Pologne","Race stage","Poland",2023
"Tour de Romandie","Major one week stage races (cycling)","Romandy",2023
"Tour de Taiwan","Race stage","Taiwan",2023
"Tour des Alpes-Maritimes","Race stage","Provence-Alpes-Côte d'Azur, Var (department)",2023
"Tour du Cameroun","Race stage","Cameroon",2023
"Tour du Jura (France)","Classic cycle races, Race stage","France",2023
"Tour du Pays de Montbéliard","Race stage","Doubs, France",2023
"Tour of Austria","Race stage","Austria",2023
"Tour of Belgium","Race stage","Belgium",2023
"Tour of Britain Women","Race stage","Great Britain",2023
"Tour of Bulgaria","Race stage","Bulgaria",2023
"Tour of Galicia","Race stage","Galicia (Spain)",2023
"Tour of Guangxi","Race stage","China, Guangxi",2023
"Tour of Hainan","Race stage","China, Hainan",2023
"Tour of Huangshan","Race stage","Anhui, China",2023
"Tour of Małopolska","Race stage","Lesser Poland Voivodeship, Poland",2023
"Tour of Oman","Race stage","Oman",2023
"Tour of Qinghai Lake","Race stage","China, Qinghai",2023
"Tour of Szeklerland","Race stage","Romania, Székely Land",2023
"Tour of the Alps","Race stage","Tyrol–South Tyrol–Trentino Euroregion",2023
"Tour of the Basque Country","Major one week stage races (cycling)","Basque Country (autonomous community)",2023
"Tour of İstanbul","Race stage","Istanbul, Turkey",2023
"Van Merksteijn Fences Classic","Classic cycle races","Belgium, Zwevegem",2023
"Veneto Classic","Classic cycle races","Veneto",2023
"Volta a Catalunya","Major one week stage races (cycling)","Catalonia",2023
"Volta a la Comunitat Valenciana","Race stage","Valencian Community",2023
"Vuelta a Navarra","Race stage","Navarre",2023
"Vuelta a San Juan","Race stage","Argentina, San Juan Province, Argentina",2023
"Vuelta a la Independencia Nacional","Race stage","Dominican Republic",2023
